x,y1,y2,y3
-0.072,-0.814116131,-4.13E-01,-4.63E-01
-0.07,-0.80964396,-4.04E-01,-4.54E-01
-0.068,-0.804900963,-3.94E-01,-4.44E-01
-0.066,-0.799893259,-3.84E-01,-4.34E-01
-0.064,-0.794627144,-3.74E-01,-4.24E-01
-0.062,-0.789109091,-3.64E-01,-4.13E-01
-0.06,-0.783345743,-3.54E-01,-4.03E-01
-0.058,-0.777343912,-3.44E-01,-3.92E-01
-0.056,-0.771110574,-3.33E-01,-3.80E-01
-0.054,-0.764652861,-3.22E-01,-3.69E-01
-0.052,-0.757978059,-3.12E-01,-3.57E-01
-0.05,-0.751093607,-3.01E-01,-3.45E-01
-0.048,-0.744007084,-2.90E-01,-3.33E-01
-0.046,-0.736726212,-2.79E-01,-3.21E-01
-0.044,-0.729258847,-2.67E-01,-3.08E-01
-0.042,-0.721612973,-2.56E-01,-2.96E-01
-0.04,-0.713796702,-2.44E-01,-2.83E-01
-0.038,-0.705818263,-2.33E-01,-2.70E-01
-0.036,-0.697686,-2.21E-01,-2.57E-01
-0.034,-0.689408366,-2.09E-01,-2.43E-01
-0.032,-0.680993918,-1.98E-01,-2.30E-01
-0.03,-0.67245131,-1.86E-01,-2.16E-01
-0.028,-0.66378929,-1.74E-01,-2.02E-01
-0.026,-0.655016692,-1.61E-01,-1.89E-01
-0.024,-0.646142431,-1.49E-01,-1.74E-01
-0.022,-0.637175499,-1.37E-01,-1.60E-01
-0.02,-0.628124956,-1.25E-01,-1.46E-01
-0.018,-0.618999927,-1.12E-01,-1.32E-01
-0.016,-0.609809596,-1.00E-01,-1.17E-01
-0.014,-0.600563198,-8.77E-02,-1.03E-01
-0.012,-0.591270016,-7.52E-02,-8.83E-02
-0.01,-0.581939371,-6.27E-02,-7.36E-02
-0.008,-0.572580622,-5.02E-02,-5.90E-02
-0.006,-0.563203153,-3.77E-02,-4.43E-02
-0.004,-0.553816373,-2.51E-02,-2.95E-02
-0.002,-0.544429706,-1.26E-02,-1.48E-02
8.74301E-16,-0.535052587,5.49E-15,6.45E-15
0.002,,1.26E-02,1.48E-02
0.004,,2.51E-02,2.95E-02
0.006,,3.77E-02,4.43E-02
0.008,,5.02E-02,5.90E-02
0.01,,6.27E-02,7.36E-02
0.012,,7.52E-02,8.83E-02
0.014,,8.77E-02,1.03E-01
0.016,,1.00E-01,1.17E-01
0.018,,1.12E-01,1.32E-01
